idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_97872ff6f0a24003,storm the victory gates,storm the victory gates,,Aggressively push for a win in a crucial phase of competition.,llm_generated_inventory,synthetic_generation,phrase,sports_competition,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,sports,formal,none,general_english,Military metaphor used figuratively for breaking through to success in sports.
syn_9644b6dc2fb24100,bottle the last lap,bottle the last lap,,Fail or lose confidence in the final stage of a competition.,llm_generated_inventory,synthetic_generation,phrase,sports_competition,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,sports,informal,strong,british,"'Bottle' is British slang meaning to falter under pressure, here applied to sports."
syn_8986d946c8c8c241,juggle the rival flame,juggle the rival flame,,Handle competing opponents or pressures skillfully during a contest.,llm_generated_inventory,synthetic_generation,phrase,sports_competition,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,sports,informal,medium,general_english,Figurative phrase combining 'juggle' and 'flame' to imply managing intense competition.
syn_b8391ac428e670f7,throw a shadow punch,throw a shadow punch,,Make a subtle move that disrupts opponents without direct confrontation.,llm_generated_inventory,synthetic_generation,phrase,sports_competition,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,sports,informal,medium,general_english,Metaphoric boxing term used figuratively for indirect competitive tactics.
syn_90741ddccd09bcae,ride the surge wave,ride the surge wave,,Capitalize on a sudden momentum or positive shift during competition.,llm_generated_inventory,synthetic_generation,phrase,sports_competition,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,sports,neutral,weak,general_english,"Oceanic metaphor for momentum, common in sports and informal speech."
syn_b70d347de0f9b496,ghost in the download,ghost in the download,,An unexpected or unexplained glitch or error in digital or online activity.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"Uses 'ghost' metaphor for something unseen causing disruption, figurative for tech glitches."
syn_c0e94bc475d62de5,cancel culture crash,cancel culture crash,,"A sudden, overwhelming wave of public backlash against someone or something leading to social exclusion.",llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,medium,online_global,Combines 'cancel culture' with 'crash' to imply a social downfall triggered online.
syn_b0b5b1d846ebb183,pixel dust trail,pixel dust trail,,Evidence or traces left behind after digital content or a person disappears from social media or online space.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,"Figurative use of 'dust trail' adapted to digital pixels, implying ephemeral online presence."
syn_de99cb92b1bd6e74,hashtag hallucination,hashtag hallucination,,A mistaken belief or viral rumor spread widely on social media that seems real but is false.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Uses 'hallucination' to convey false viral phenomena triggered by hashtags.
syn_85eae5855225129c,meme stock meltdown,meme stock meltdown,,A rapid and dramatic collapse in the perceived value or popularity of something that was once viral or trendy.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,weak,online_global,"Metaphor drawn from recent finance slang, broadly applicable to pop culture declines."
syn_5d79f71fc4b1f2d7,filter bubble pop,filter bubble pop,,A sudden exposure to opposing views or realities that breaks one’s narrow online worldview.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,weak,general_english,Metaphor for breaking out of social media echo chambers or personalized content streams.
syn_46c948a00d20b312,algorithmic ghosting,algorithmic ghosting,,When a person is deliberately or accidentally ignored or invisible due to algorithmic filtering online.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"Extends 'ghosting' to tech context, where algorithms cause social invisibility."
syn_b25e47bd7a7baffc,streamer bubble burst,streamer bubble burst,,"A sudden drop in attention, popularity, or income for a content creator or streamer after hype dies down.",llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Refers to viral hype cycles common in streaming and digital entertainment.
syn_dda92a0f62636369,scroll hole,scroll hole,,The state of losing track of time by endlessly scrolling through social media feeds.,llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Figurative blend of 'scroll' and 'black hole' describing compulsive online browsing.
syn_6086c91636348d90,clout cave,clout cave,,"A private or exclusive online space where influencers or popular figures engage closely, away from public view.",llm_generated_inventory,synthetic_generation,phrase,pop_culture_modern,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Uses 'clout' for social influence and 'cave' implying a secretive or exclusive place.
